ID,Assembly,Manufacturer,Part number,Qty,Function,Design status,Purchase status,Order ref,Source,Notes
BOM-87,Controller,Panasonic,ERJ3EKF1000V,4,100 ohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1000V,"Controller: R80, R82, R84, R20; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF1000V (P100HCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-88,Controller/Sensor,Panasonic,ERJ3EKF2701V,6,2.7 kohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF2701V,"Controller: R72, R73, R60, R61; Sensor: R3, R4; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF2701V (P2.70KHCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-89,Controller/Sensor,Panasonic,ERJ3EKF22R0V,8,22 ohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF22R0V,"Controller: R70, R71, R44, R45, R62, R63; Sensor: R1, R2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF22R0V (P22.0HCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-90,Controller,Panasonic,ERA3AEB9532V,1,95.3kohm supervisor divider top,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB9532V,Controller: R14; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x ERA-3AEB9532V (P95.3KDBCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-91,Controller,Panasonic,ERJ3EKF3300V,1,330 ohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF3300V,Controller: R55; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x CRCW0603330RFKEA (541-330HCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-92,Service kit,Mean Well,GST18U05-P1J,1,Isolated service wall adapter,Capture candidate,In stock,,https://www.meanwell.com/Upload/PDF/GST18U/GST18U-SPEC.PDF,Existing known regulated 5 V 3 A Class II adapter; mains-disconnected service only; 2 A inline fuse in the positive lead. No motor or coil power. Owner confirms sufficient existing stock for this build; no purchase or shipment tracked. Existing service supply model and ratings not recorded; exact GST18U05-P1J ownership and electrical equivalence are not established.
BOM-93,Service kit,Tensility,10-02248,1,Service adapter to JST XH pigtail,Capture candidate,On the way,DigiKey 101602605,https://tensility.s3.us-west-2.amazonaws.com/imports/product_spec_sheets/10-02248.pdf,"Shortened cable assembly with 2 A fused positive lead and insulated splices; red center to service pin 1 and black sleeve to pin 2. Wiring/contact drop <=90 mV at 740 mA excludes the separately budgeted fuse. Verify final polarity and delivered voltage. Terminates in XHP-2/SXH-001T-P0.6 at controller J2, not Micro-Fit. Purchased 1 x 10-02248 (839-10-02248-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-94,Controller,Texas Instruments,TPS259470ARPWR,0,Service input eFuse,Not populated,Not ordered,,https://www.ti.com/lit/ds/symlink/tps25947.pdf,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: Second instance; RAW to V5_SERVICE; 470k series sense resistors required for reversed input; docs/design/service-input.md
BOM-95,Controller,Panasonic,ERA3AEB2612V,0,Service UV divider top,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB2612V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 26.1k 0.1% 25ppm 0603; divider midpoint then 470k to UV pin
BOM-96,Controller,Panasonic,ERA3AEB3832V,0,Service OV divider top,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB3832V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 38.3k 0.1% 25ppm 0603; divider midpoint then 470k to OV pin
BOM-97,Controller,Panasonic,ERA3AEB103V,0,Service UV and OV divider bottoms,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB103V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 10k 0.1% 25ppm 0603; additional to BOM-83
BOM-98,Controller,Panasonic,ERA6AEB474V,0,Service reverse-input sense-pin current limiting,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA6AEB474V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 470k 0.1% 25ppm 0805 0.125W; one per UV/OV pin; service thresholds differ from mains
BOM-99,Controller,Panasonic,ERA3AEB2871V,0,Service eFuse current-limit resistor,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB2871V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 2.87k 0.1% 25ppm 0603; ILM to GND
BOM-100,Controller,Panasonic,ERA6AEB222V,0,Service protected-rail bleeder,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA6AEB222V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 2.2k 0.1% 25ppm 0805 0.125W; V5_SERVICE to GND
BOM-101,Controller,TDK,C2012X7R1E105K125AB,0,Service eFuse input bypass,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 1uF 25V X7R 10% 0805; additional to BOM-82
BOM-102,Controller,TDK,C1608X7R1H104K080AA,0,Service eFuse input HF bypass,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 100nF 50V X7R 10% 0603; additional to BOM-81
BOM-103,Controller,Murata,GRM32ER71E226ME15L,0,Service eFuse output bulk,Not populated,Not ordered,,https://ds.murata.com/simsurfing/mlcc.html?partnumbers=%5B%22GRM32ER71E226ME15%22%5D,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 22uF 25V X7R 20% 1210; additional to five BOM-63; count maximum 30.36uF against startup
BOM-104,Controller,TDK,C1608C0G1H472J080AA,0,Service eFuse ramp capacitor,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608C0G1H472J080AA,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 4.7nF 50V C0G 5% 0603; dVdt to GND
BOM-105,Controller,STMicroelectronics,STPS2L40U,0,Service eFuse output negative clamp,Not populated,Not ordered,,https://www.st.com/resource/en/datasheet/stps2l40.pdf,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: Anode GND; cathode V5_SERVICE; additional to two BOM-27 OR diodes; pulse qualification remains
BOM-106,Controller,Littelfuse,SMBJ8.0CA,0,Raw service input transient suppression,Not populated,Not ordered,,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: Bidirectional 8V standoff; RAW to GND at connector; not a precise 5V clamp; exact lands and pulse model remain
BOM-107,Controller/Sensor,Texas Instruments,ESDS312DBVR,3,Sensor cable signal protection,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/esds312.pdf,"Controller: U13, U11; Sensor: U3; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 3 x ESDS312DBVR (296-51112-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-108,Controller,Littelfuse,SMBJ7.0A,2,Controller sensor-port power TVS,Selected for capture,On the way,DigiKey 101602605,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e,"Controller: D8, D7; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x SMBJ7.0A (SMBJ7.0ALFCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-109,Sensor,Panasonic,ERJ3EKF22R0V,0,Sensor-side I2C series resistors,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF22R0V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 22ohm 1% 100ppm 0.1W 0603; FDC side of local ESD taps; additional to four controller BOM-89
BOM-110,Controller,Vishay,CRCW25126R80FKEGHP,2,6.8 ohm sensor-port power resistors,Selected for capture,On the way,DigiKey 101602605,https://www.vishay.com/docs/20043/crcwhpe3.pdf,"Controller: R69, R68; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 3 x CRCW25126R80FKEGHP (541-6.80RCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-111,Controller,TDK,C3216X7R1E106K160AB,0,Protected sensor-switch output bulk,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X7R1E106K160AB,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 10uF 25V X7R 10% 1206; V5_SENSOR_SW to GND alongside existing 1uF; additional to two sensor BOM-66
BOM-112,Sensor,Panasonic,ERA3AEB103V,0,Unplugged sensor input discharge,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB103V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 10kohm 0.1% 25ppm 0.1W 0603; V5_SENSOR to GND; independent of controller-side bleeder
BOM-113,Sensor,Diodes Incorporated,1N4148W-7-F,0,LT3042 PGFB reverse isolation,Not populated,Not ordered,,https://www.diodes.com/datasheet/download/1N4148W.pdf,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: SOD-123 cathode pad 1 LDO_PGFB and anode pad 2 V5_SENSOR; no direct PGFB input tie; not the retired -79 suffix
BOM-114,Sensor,TDK,C1608X7R1H104K080AA,0,FDC1004 HF bypass,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 100nF 50V X7R 10% 0603; close to FDC VDD/GND; additional to controller BOM-81/102
BOM-115,Sensor,TDK,C2012X7R1E105K125AB,0,FDC1004 bulk bypass,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 1uF 25V X7R 10% 0805; FDC-side 3V3_SENSOR; additional to controller BOM-82/101
BOM-116,Sensor,Panasonic,ERA3AEB272V,0,Sensor-side I2C pullups,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB272V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 2.7kohm 0.1% 25ppm 0.1W 0603; I2C_SDA and I2C_SCL to 3V3_SENSOR on FDC side of series resistors
BOM-117,Sensor,Panasonic,ERJ3EKF3011V,1,3.01 kohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF3011V,Sensor: R6; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF3011V (P3.01KHCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-118,Mains,Littelfuse,0215001.MXEP,1,1 A axial time-lag filter branch fuse,Selected for capture,On the way,DigiKey 101602605,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,Mains: F3; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x 0215001.MXEP (F3476-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-119,Mains,Littelfuse,0451003.MRL,1,3 A 12 V motor branch fuse,Selected for capture,On the way,DigiKey 101602605,https://www.littelfuse.com/assetdocs/fuse-451-and-453-datasheet?assetguid=533cd5cc-956c-4243-867f-6ab5a62f6ba1,Mains: F2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x 0451003.MRL (F2583CT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-120,Mains,Diodes Incorporated,AP63205WU-7,1,Mains-board fixed 5 V buck,Selected for capture,Not ordered,,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf,Mains: U2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate.
BOM-121,Controller/Sensor,Panasonic,ERJ3EKF1002V,16,10 kohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1002V,"Controller: R81, R83, R85, R12, R2, R11, R50, R51, R52, R53, R46, R65, R66, R67, R64; Sensor: R5; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 25 x ERJ-3EKF1002V (P10.0KHCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-122,Service kit,Littelfuse,01500274Z,1,Service inline fuse holder,Selected for capture,On the way,DigiKey 101602605,https://www.littelfuse.com/assetdocs/fuse-holder-150-datasheet?assetguid=662e5ae4-2c3a-4d7a-8642-e7d9db02703d,Ordinary prewired 5x20 holder; 16 AWG leads; use insulated splices to 22 AWG JST XH service lead. Purchased 1 x 01500274Z (F1468-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-123,Service kit,Littelfuse,0215002.MXP,1,Service 2 A time-lag cartridge,Selected for capture,On the way,DigiKey 101602605,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,Same 215-series cartridge as inlet F1; 190 mV maximum rated-current voltage drop. Protects service wiring; not an electronic current limiter. Purchased 2 x 0215002.MXP (F4609-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-124,Enclosure mounting,,M3 insulating mounting kit,1,Eight PCB mounting positions,Generic selected,Not ordered,,../docs/mechanical.md,All-insulating M3 hardware for four aligned controller/mains mounting columns; OD <=8 mm. Current stack: mains bottom/top Z15/16.6 mm; controller underside/top Z61.6/63.2 mm; separator Z50.1..52.1 mm. No conductive mounting panel. Exact purchasing allocations and carrier/retention instructions are in bom/order-2026-09-14/ and the assembly package.
BOM-125,Controller,JST,S2B-XH-A,1,Distinct 5 V service header,Selected for capture,On the way,DigiKey 101602605,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,Controller J2; right-angle 2.5 mm XH; pin 1 regulated 5 V; pin 2 GND. Purchased 1 x S2B-XH-A (455-S2B-XH-A-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-126,Service harness,JST,XHP-2,1,Two-position 5 V service housing,Selected for capture,On the way,DigiKey 101602605,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,Mates controller J2; distinct from 12 V Micro-Fit ports. Purchased 2 x XHP-2 (455-2266-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-127,Service harness,JST,SXH-001T-P0.6,2,5 V service crimp contacts,Selected for capture,On the way,DigiKey 101602605,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,Use 22 AWG service wire and compatible insulation; splice to inline fuse holder leads. Purchased 10 x BXH-001T-P0.6 (BXH-001T-P0.6-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
