Manufacturer,MPN or specification,Use,Required quantity,Unit,Recommended spares,Suggested buy quantity,Purchase status,Source IDs,Supplier lookup,Source,Controller refs,Controller quantity per set,Mains refs,Mains quantity per set,Sensor refs,Sensor quantity per set,Selection status,Notes
,Adhesive-lined heatshrink assortment rated>=600V;fit insulated splice OD,Enclosure and assembly stock: Service splices and exposed drain insulation,1,kit,0,1,Not ordered,ORDER-07,https://www.digikey.ca/en/products?keywords=Adhesive-lined%20heatshrink%20assortment%20rated%3E%3D600V%3Bfit%20insulated%20splice%20OD,../../docs/electrical.md,,0,,0,,0,Generic purchasing specification,Stock consumable; insulate barrel/fuse lead splices and cable drain ends. Select shrink sizes after known cable/splice OD; no uninsulated splice left accessible.
,Unclad flame-retardant FR-4;2mm;UL94V-0 at2mm,Enclosure and assembly stock: Separator and clamp-tab stock,1,200 x 200mm minimum sheet,0,1,Not ordered,ORDER-03,https://www.digikey.ca/en/products?keywords=Unclad%20flame-retardant%20FR-4%3B2mm%3BUL94V-0%20at2mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Cut one intact 158 x 118 mm separator and eight 20 x 20 mm corner tabs. Confirm purchased thickness and flame-rating receipt. Do not substitute generic G10.
,Unclad flame-retardant FR-4;3mm;UL94V-0 at3mm,Enclosure and assembly stock: Carrier/H-rails/PE bracket stock,1,250 x 250mm minimum sheet,0,1,Not ordered,ORDER-04,https://www.digikey.ca/en/products?keywords=Unclad%20flame-retardant%20FR-4%3B3mm%3BUL94V-0%20at3mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Cut one 182 x 144 mm carrier, two H-rails from 180 x 32 mm blanks, and one 40 x 30 mm PE bracket. Follow the mechanical closure drawing for final outlines and holes. These pieces plus kerf fit 250 x 250 mm stock."
,M4 nylon threaded rod;>=80mm,Enclosure and assembly stock: Four continuous frame/base posts,4,each,1,5,Not ordered,ORDER-05,https://www.digikey.ca/en/products?keywords=M4%20nylon%20threaded%20rod%3B%3E%3D80mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Four continuous posts through the enclosure base at (90,55), (260,55), (90,185), (260,185). Nylon only. Trim after setting elevations."
,M4x30 stainless steel or brass bolt/stud,Enclosure and assembly stock: Dedicated PE junction stud,1,each,0,1,Not ordered,ORDER-06,https://www.digikey.ca/en/products?keywords=M4x30%20stainless%20steel%20or%20brass%20bolt/stud,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Clamp electrical ring contacts metal-to-metal. Keep nylon, GRP and FR-4 outside the electrical pressure stack. Bracket occupies X270..310, Y180..210, Z10..13 mm."
,Nonconductive cable-tie base;15–20mm square,Enclosure and assembly stock: Glass-side external cable anchors,2,each,1,3,Not ordered,ORDER-08,https://www.digikey.ca/en/products?keywords=Nonconductive%20cable-tie%20base%3B15%E2%80%9320mm%20square,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Place beside the sensor to its left, never on the glass-facing electrode area. Use 3M VHB 5952 under these bases only; no foam under the sensor."
,Nylon small cable tie compatible with selected bases,Enclosure and assembly stock: External sensor jacket ties,4,each,4,8,Not ordered,ORDER-09,https://www.digikey.ca/en/products?keywords=Nylon%20small%20cable%20tie%20compatible%20with%20selected%20bases,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Secure the cable jacket without crushing insulation. Retain a relaxed bend and the 203.2 mm complete harness limit.
3M,5952,Enclosure and assembly stock: Tape for external cable anchors,1,50 x 50mm minimum patch,1,2,Not ordered,ORDER-10,https://www.digikey.ca/en/products?keywords=5952,https://www.3m.com/3M/en_US/p/dc/v100809057/,,0,,0,,0,Selected stock specification; verify received dimensions,Foam tape only under external cable anchors. Never substitute it for 467MP under the sensor.
,M4 nylon nut,Enclosure and assembly stock: Frame/base elevation locking nuts,40,each,8,48,Not ordered,ORDER-11,https://www.digikey.ca/en/products?keywords=M4%20nylon%20nut,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Forty fitted nuts for frame and bracket joints, plus eight spare. PE electrical clamping uses separate metal nuts."
,M4 nylon flat washer,Enclosure and assembly stock: Frame/base washers,40,each,8,48,Not ordered,ORDER-12,https://www.digikey.ca/en/products?keywords=M4%20nylon%20flat%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Forty fitted washers for frame and bracket joints, plus eight spare. Elevations account for installed washer thickness."
,M4-compatible elastomer sealing washer,Enclosure and assembly stock: Frame/base hole seals; PE bracket base hole seals,6.0,each,4.0,10.0,Not ordered,ORDER-13 ORDER-30,https://www.digikey.ca/en/products?keywords=M4-compatible%20elastomer%20sealing%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Four frame-post base holes. Modified enclosure sealing must be checked after assembly. Two additional PE bracket base-hole seals, separate from the four frame-post seals."
,Insulating/rubber foot;10mm high,Enclosure and assembly stock: Enclosure freestanding feet,4,each,1,5,Not ordered,ORDER-14,https://www.digikey.ca/en/products?keywords=Insulating/rubber%20foot%3B10mm%20high,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Raise the freestanding enclosure above external frame nuts. Place outside screw and harness areas.
,Nylon spacer tube;M4 clearance bore;trim to3.2mm,Enclosure and assembly stock: Carrier floor feet,4,each,1,5,Not ordered,ORDER-15,https://www.digikey.ca/en/products?keywords=Nylon%20spacer%20tube%3BM4%20clearance%20bore%3Btrim%20to3.2mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,The modeled enclosure floor is Z1.8 mm. Effective feet height 3.2 mm holds carrier bottom at Z5 mm. Include washer thickness in this height.
,M3 plain insulating spacer; 7 mm effective; OD <=8 mm,Enclosure and assembly stock: Lower PCB supports,4,each,1,5,Not ordered,ORDER-16,https://www.digikey.ca/en/products?keywords=M3%20plain%20insulating%20spacer%3B%207%20mm%20effective%3B%20OD%20%3C%3D8%20mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Four plain spacers, with single M3 x 16 mm through-bolts. Effective carrier-top to mains-underside gap is 7 mm (Z8 to Z15)."
,M3 plain insulating spacer;3mm effective;OD<=8mm,Enclosure and assembly stock: Upper PCB spacers,4,each,1,5,Not ordered,ORDER-17,https://www.digikey.ca/en/products?keywords=M3%20plain%20insulating%20spacer%3B3mm%20effective%3BOD%3C%3D8mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Four plain spacers, with single M3 x 12 mm countersunk through-bolts. Effective rail-top to controller-underside gap is 3 mm (Z58.6 to Z61.6)."
,M3 x 16 mm nylon pan-head bolt,Enclosure and assembly stock: Lower PCB through-bolts,4,each,2,6,Not ordered,ORDER-18,https://www.digikey.ca/en/products?keywords=M3%20x%2016%20mm%20nylon%20pan-head%20bolt,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Four lower PCB bolts pass through 3 mm carrier, 7 mm spacer and 1.6 mm PCB, then washer/nut. No opposing screws inside short spacers."
,M3x12 countersunk nylon screw,Enclosure and assembly stock: Corner stop and upper rail through-fasteners,12,each,4,16,Not ordered,ORDER-20,https://www.digikey.ca/en/products?keywords=M3x12%20countersunk%20nylon%20screw,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Twelve fitted: eight corner-stop pins and four upper-rail through-bolts. Recess heads flush below rails. Upper bolts use plain 3 mm spacers and top nuts.
,M3 nylon nut;OD<=8mm,Enclosure and assembly stock: Corner-stop and upper-support nuts,16,each,4,20,Not ordered,ORDER-21,https://www.digikey.ca/en/products?keywords=M3%20nylon%20nut%3BOD%3C%3D8mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Sixteen fitted: eight PCB through-bolts and eight corner-stop screws. Four spare.
,M3 nylon flat washer;OD<=8mm,Enclosure and assembly stock: PCB/corner-stop washers,32,each,16,48,Not ordered,ORDER-22,https://www.digikey.ca/en/products?keywords=M3%20nylon%20flat%20washer%3BOD%3C%3D8mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Thirty-two fitted and sixteen spare washers. Preserve effective 7 mm lower and 3 mm upper gaps after washers are included.
,M4 stainless steel or brass hex nut,Enclosure and assembly stock: PE junction metal clamp/mount nuts,3,each,1,4,Not ordered,ORDER-23,https://www.digikey.ca/en/products?keywords=M4%20stainless%20steel%20or%20brass%20hex%20nut,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Three ordinary metal nuts plus the separately listed all-metal locking nut give four metal nuts for the PE junction.
,M4 all-metal prevailing-torque locknut,Enclosure and assembly stock: PE junction locknut,1,each,1,2,Not ordered,ORDER-24,https://www.digikey.ca/en/products?keywords=M4%20all-metal%20prevailing-torque%20locknut,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,All-metal locking nut for the PE electrical pressure stack; no nylon insert.
,M4 metal flat washer,Enclosure and assembly stock: PE junction metal washers,4,each,2,6,Not ordered,ORDER-25,https://www.digikey.ca/en/products?keywords=M4%20metal%20flat%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,PE electrical stack metal washers. Keep polymer material outside the electrical pressure stack.
,M4 metal serrated locking washer,Enclosure and assembly stock: PE junction locking washer,1,each,1,2,Not ordered,ORDER-26,https://www.digikey.ca/en/products?keywords=M4%20metal%20serrated%20locking%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"PE junction locking washer, separate from nylon mounting hardware."
,Insulating removable terminal cover;fitsM4PEstack,Enclosure and assembly stock: PE junction cover,1,each,0,1,Not ordered,ORDER-27,https://www.digikey.ca/en/products?keywords=Insulating%20removable%20terminal%20cover%3BfitsM4PEstack,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Removable insulating cover over the assembled M4 x 30 mm PE stack. Attach to the bracket so no live-accessible metal termination is exposed during ordinary use.
,M4 x 30 mm nylon bolt,Enclosure and assembly stock: PE bracket base bolts,2,each,2,4,Not ordered,ORDER-28,https://www.digikey.ca/en/products?keywords=M4%20x%2030%20mm%20nylon%20bolt,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,"Two PE bracket base fixings at (275,195) and (305,195). Allow 5.8 mm wall, 8.2 mm sleeve, 3 mm bracket, seals, washers and nuts. These are separate from the metal PE stud."
,Insulating M4 clearance sleeve;8.2mm effective,Enclosure and assembly stock: PE bracket floor spacers,2,each,1,3,Not ordered,ORDER-29,https://www.digikey.ca/en/products?keywords=Insulating%20M4%20clearance%20sleeve%3B8.2mm%20effective,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,,0,,0,,0,Selected stock specification; verify received dimensions,Effective 8.2 mm height keeps bracket bottom Z10 mm above floor Z1.8 mm; include washer thickness.
